発生日,発生時刻,ショット数,射出充填時間[s],指定位置通過時間[s],射出開始位置[mm],V-P切換位置[mm],射出最前進位置[mm],射出終了位置[mm],V-P切換圧[MPa],射出最前進圧[MPa],射出ピーク圧[MPa],指定位置通過圧[MPa],区間平均射出圧[MPa],射出開始圧[MPa],射出ストローク[mm],,所定圧通過位置[mm],,,,,,,,,,,,可塑化時間[s],計量開始位置[mm],計量回転数,計量平均トルク[%],計量減速開始位置[mm],回転停止位置[mm],プレパック距離[mm],プレパック角度[°],,,サイクル時間[s],,ノズル[C],前部[C],中部[C],後部１[C],後部２[C],落下口[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ロットナンバー,ケース出来高,良否コード
"2022/12/14","09:28:54",3683550,0.59,0.00,37.00,5.00,0.49,0.50,47.6,41.9,50.6,0.0,0.0,-0.0,36.50,,18.60,,,,,,,,,,,,,,,,,,,,,,,,230.2,230.6,227.7,218.6,213.4,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:29:04",3683551,0.59,0.00,37.00,5.00,0.59,0.59,50.4,42.0,53.4,0.0,0.0,0.1,36.41,,23.28,,,,,,,,,,,,4.03,3.27,9.15,7.438,35.01,36.01,0.00,0.00,,,23.69,,230.6,230.6,227.7,218.5,213.4,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:29:14",3683552,0.59,0.00,37.00,5.00,0.82,0.82,49.7,41.6,53.1,0.0,0.0,0.6,36.18,,22.63,,,,,,,,,,,,3.25,4.22,7.21,7.929,35.01,36.32,0.00,0.00,,,9.66,,230.7,230.5,227.8,218.4,213.3,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:29:23",3683553,0.59,0.00,37.00,5.00,0.88,0.88,49.0,41.6,51.8,0.0,0.0,1.4,36.12,,21.94,,,,,,,,,,,,2.82,4.44,6.11,8.776,35.02,36.53,0.00,0.00,,,9.18,,230.2,230.5,227.9,218.2,213.2,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:29:32",3683554,0.59,0.00,37.00,5.00,1.01,1.01,49.2,41.6,52.0,0.0,0.0,2.4,35.99,,22.23,,,,,,,,,,,,2.58,4.48,5.52,9.555,35.01,36.74,0.00,0.00,,,8.90,,230.4,230.6,228.0,218.1,213.1,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:29:41",3683555,0.59,0.00,37.00,5.00,1.12,1.12,49.8,41.5,52.4,0.0,0.0,3.0,35.88,,22.57,,,,,,,,,,,,2.42,4.61,5.11,10.248,35.01,36.85,0.00,0.00,,,8.77,,230.4,230.6,228.1,217.9,213.1,39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:29:50",3683556,0.59,0.00,37.00,5.00,1.26,1.26,50.4,41.6,53.0,0.0,0.0,3.6,35.74,,23.71,,,,,,,,,,,,2.32,4.81,4.87,11.069,35.01,36.94,0.00,0.00,,,8.76,,230.4,230.5,228.1,217.8,212.9,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:29:58",3683557,0.59,0.00,37.00,5.00,1.30,1.30,50.7,41.6,53.3,0.0,0.0,3.6,35.70,,24.53,,,,,,,,,,,,2.28,4.84,4.76,11.748,35.01,36.92,0.00,0.00,,,8.77,,230.1,230.6,228.2,217.8,212.7,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:30:07",3683558,0.59,0.00,37.00,5.00,1.34,1.34,51.0,41.5,53.7,0.0,0.0,3.6,35.66,,25.08,,,,,,,,,,,,2.26,4.96,4.72,11.943,35.03,36.92,0.00,0.00,,,8.76,,229.9,230.5,228.2,217.7,212.4,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:30:16",3683559,0.59,0.00,37.00,5.00,1.40,1.40,51.5,41.6,54.3,0.0,0.0,3.4,35.60,,25.93,,,,,,,,,,,,2.29,4.99,4.79,12.073,35.01,36.85,0.00,0.00,,,8.76,,229.8,230.4,228.2,217.6,212.4,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:30:25",3683560,0.59,0.00,37.00,5.00,1.45,1.45,52.0,41.5,54.8,0.0,0.0,3.4,35.55,,26.78,,,,,,,,,,,,2.30,4.95,4.82,12.039,35.01,36.89,0.00,0.00,,,8.76,,229.7,230.4,228.3,217.4,212.3,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:30:34",3683561,0.59,0.00,37.00,5.00,1.43,1.43,52.0,41.6,54.9,0.0,0.0,3.3,35.57,,27.25,,,,,,,,,,,,2.31,4.99,4.83,11.858,35.02,36.85,0.00,0.00,,,8.76,,229.7,230.4,228.3,217.4,212.3,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:30:42",3683562,0.59,0.00,37.00,5.00,1.47,1.47,52.1,41.5,54.9,0.0,0.0,3.2,35.53,,27.89,,,,,,,,,,,,2.32,4.98,4.87,11.877,35.02,36.83,0.00,0.00,,,8.76,,229.7,230.4,228.4,217.4,212.4,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:30:51",3683563,0.59,0.00,37.00,5.00,1.41,1.41,52.0,41.6,54.9,0.0,0.0,3.3,35.59,,27.37,,,,,,,,,,,,2.32,5.01,4.87,11.885,35.01,36.83,0.00,0.00,,,8.76,,230.0,230.4,228.6,217.6,212.5,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:31:00",3683564,0.59,0.00,37.00,5.00,1.43,1.43,52.0,41.6,54.9,0.0,0.0,3.2,35.57,,27.38,,,,,,,,,,,,2.34,4.96,4.91,11.940,35.03,36.82,0.00,0.00,,,8.76,,230.1,230.3,228.7,217.7,212.7,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
